시설명,주소
해오름스포츠센터,서울특별시 성북구 성북로4길 52(돈암동)
월곡실내배드민턴장,서울특별시 성북구 화랑로13길 130 (하월곡동)
성북펜싱체육관,서울특별시 성북구 종암로 24길 109(종암동) 종암SK아파트 104동 뒤편
성북구립휘트니스,서울특별시 성북구 보문로 29길 49(삼선동)
물빛수영장,서울특별시 성북구 길음로7길 20(길음동) 서울성북미디어문화마루 지하1층
장위건강누림센터,서울특별시 성북구 장위로 21나길 18(장위동)
종암박스파크,서울특별시 성북구 종암동 3-1288
북악골프장,서울특별시 성북구 북악산로 537-14(정릉동)
송파구체육문화회관,서울특별시 송파구 양산로 15(거여동)
양천구민체육센터,서울특별시 양천구 목동동로 87(신정동)
신월문화체육센터,서울특별시 양천구 지양로 47(신월동)
목동문화체육센터,서울특별시 양천구 목동중앙본로 73(목동)
계남다목적체육관,서울특별시 양천구 신정로 273-5(신정동)
목동타운홀,서울특별시 양천구 목동동로 345(목동)
건강힐링문화관,서울특별시 양천구 남부순환로83길 54(신월동)
영등포제1스포츠센터,서울특별시 영등포구 신풍로 1(신길동)
영등포제2스포츠센터,서울특별시 영등포구 국회대로615(당산동4가)
영등포배드민턴체육관,서울특별시 영등포구 도신로 15길 5(도림동)
영등포클라이밍경기장,서울특별시 영등포구 도신로 15길 11(도림) 도림유수지 내
용산구문화체육센터,서울특별시 용산구 백범로 350(문배동)
원효로다목적체육관,서울특별시 용산구 원효로3가 51-26(청암)
한강로피트니스센터,서울특별시 용산구 서빙고로 17(서빙고동) 용산센트럴파크 해링턴스퀘어 공공시설동 지하1층
은평구민체육센터,서울특별시 은평구 진관1로 40(진관동)
은평다목적체육관,서울특별시 은평구 진관1로 52(진관동)
은평구립축구장,서울특별시 은평구 진관1로 46(진관동)
은평구립테니스장,서울특별시 은평구 진관1로 40(진관동) 은평구민체육센터 건물 우측 주차장 위
올림픽기념국민생활관,서울특별시 종로구 성균관로 91(혜화)
종로구민회관,서울특별시 종로구 지봉로5길 7-5(창신동)
종로문화체육센터,서울특별시 종로구 인왕산로1길 21(사직동)
동부여성문화센터,서울특별시 종로구 창신길 124(창신동)
삼청테니스장,서울특별시 종로구 삼청로156(삼청동)
충무스포츠센터,서울특별시 중구 퇴계로 387(흥인동)
회현체육센터,서울특별시 중구 퇴계로12길 78(회현동)
훈련원공원종합체육관,서울특별시 중구 을지로 227(을지로5가)
손기정문화체육센터,서울특별시 중구 손기정로 101(만리동1가)
남산타운문화체육센터,서울특별시 중구 다산로 32(신당)
중랑구민체육센터,서울특별시 중랑구 신내로15길 189(묵동)
중랑문화체육관,서울특별시 중랑구 사가정로72길 47(면목동)
면목2동체육관,서울특별시 중랑구 겸재로23길 27(면목동) 공영주차장 4층
묵2동문화체육복합센터,서울특별시 중랑구 묵동 243-1외 3필지
